P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
metals-rich,1.27,1.12,0.9,1.01,1.06,276,306.5,310.6,314.8,1.1,35.23,0.166,0.03,0.17,K,0.54,0.46,3748,0.037953,0.16,4.4,-0.94,-0.17,-0.49,0.48,0.5,1
metals-rich,3.32,1.48,1.03,1.52,1.5,267.4,294.3,306.6,321.3,3.4,34.14,0.149,0.1,0.15,M,0.45,0.43,3572,0.027,-0.12,4.2,-0.87,-0.16,0.04,0.53,0.75,1
metals-rich,3.8,1.54,1.05,1.61,1.57,246.5,284,286.4,288.9,4,28.14,0.125,0.02,0.12,M1.5V,0.33,0.35,3350,0.0137,-0.55,2,-0.62,-0.15,0.21,0.6,0.64,1
metals-rich,2.34,1.34,0.97,1.3,1.32,233,266,270.5,275.3,2.3,112.31,0.409,0.04,0.41,K,0.61,0.59,4402,0.117,-0.37,2.9,-0.34,-0.16,-0.06,0.72,0.04,1
metals-rich,4.54,1.61,1.08,1.74,1.68,260.8,301.6,301.6,301.6,4.9,122.39,0.427,0,0.43,K2V,0.69,0.63,4869,0.200138,-0.21,7,-0.7,-0.15,0.28,0.56,0.96,1
metals-rich,4.72,1.63,1.09,1.77,1.7,261.5,302.5,302.5,302.5,5.1,384.84,1.046,0,1.05,G2,1.04,1.11,5757,1.214285,0.21,6,-0.61,-0.15,0.3,0.59,0.93,1
metals-rich,5.4,1.69,1.12,1.89,1.79,253,275,294.7,321.6,6,35.68,0.163,0.18,0.16,M1.5,0.45,0.45,3472,0.026036,-0.3,,-0.72,-0.15,0.43,0.54,0.96,1
metals-rich,3.66,1.52,1.04,1.58,1.55,282.4,322.1,322.1,322.1,3.8,44.56,0.2076,0,0.21,M0.2,0.6,0.56,3896,0.065057,-0.32,1,-1,-0.15,0.06,0.5,0,1
metals-rich,7.04,1.81,1.18,2.14,1.97,248,291.1,291.1,291.1,8.3,92.74,0.341,0,0.34,K,0.62,0.57,4351,0.104471,-0.26,,-0.58,-0.14,0.69,0.52,0.85,1
metals-rich,4.29,1.59,1.07,1.7,1.64,282.4,316.1,322.9,330.3,4.6,168.12,0.552,0.05,0.55,G8.5V,0.78,0.79,5344,0.460153,-0.55,5.8,-0.92,-0.15,0.16,0.51,0,1
metals-rich,6.4,1.77,1.16,2.04,1.9,239.5,272.1,282,293.7,7.4,24.33,0.129,0.09,0.13,M2V,0.43,0.34,3371,0.013018,,,-0.53,-0.14,0.64,0.54,0.42,1
metals-rich,2.7,1.4,0.99,1.39,1.39,220.7,255.7,258.9,262.3,2.7,39.03,0.156,0.03,0.16,M1.5V,0.33,0.35,3350,0.0137,-0.55,2,-0.22,-0.16,0.08,0.78,0,1
metals-rich,3.5,1.25,1.77,2.22,1.67,301.5,343.4,343.4,343.4,6.2,8.15,0.0448,0,0.04,M,0.18,0.21,3157,0.00393,0.19,,-1.16,-0.72,0.13,0.42,0,0
metals-rich,7.26,1.83,1.19,2.17,1.99,276.8,308.1,320.1,334.2,8.6,25.64,0.1254,0.09,0.12,M3.5,0.4,0.4,3500,0.021975,,3,-0.96,-0.14,0.58,0.47,0.02,1
metals-rich,8.3,1.89,1.22,2.32,2.09,267.9,298.4,311.9,328.1,10.2,17.38,0.103,0.11,0.1,M2V,0.43,0.34,3371,0.013018,,,-0.88,-0.14,0.74,0.46,0.41,1
metals-rich,7.75,1.86,1.2,2.24,2.04,272.5,280.8,316.1,381.5,9.3,101.11,0.242,0.34,0.23,K,0.57,0.55,4134,0.079,-0.3,1.3,-0.96,-0.14,0.62,0.47,0.16,1
metals-rich,7.09,1.82,1.18,2.15,1.98,227.4,244.4,270.5,314.4,8.4,197.8,0.6,0.29,0.57,K2.5V,0.77,0.65,4977,0.233304,-0.31,1.2,-0.23,-0.14,0.77,0.55,0.04,1
metals-rich,4.4,1.6,1.08,1.72,1.66,293.7,323.4,334.3,347,4.7,17.48,0.08,0.08,0.08,M3.5V,0.27,0.39,3028,0.01132,,,-1.1,-0.15,0.14,0.47,0,0
metals-rich,3.5,1.5,1.03,1.55,1.53,297.4,322,336.9,355,3.6,58.43,0.26,0.11,0.26,K5V,0.69,0.53,4715,0.125971,-0.33,5.61,-1.11,-0.15,-0.02,0.47,0,0
hydrogen-rich,16.46,2.24,1.46,3.28,2.71,251.1,298.7,298.7,298.7,24.1,32.94,0.1491,0,0.15,M2.8,0.41,0.39,3503,0.020972,0.09,,-0.68,-0.12,1.58,0.37,1,1
hydrogen-rich,13.85,2.15,1.39,2.99,2.54,267.3,286.7,314,356.6,19.3,59.88,0.27,0.25,0.26,K7V,0.64,0.62,4017,0.089801,0.03,1,-0.88,-0.13,1.24,0.4,0.27,1
hydrogen-rich,9.9,1.98,1.28,2.53,2.24,231.3,270.6,276.1,282.2,12.6,26.16,0.119,0.05,0.12,M3.5V,0.35,0.3,3323,0.009624,,,-0.41,-0.13,1.11,0.46,0.17,1
hydrogen-rich,20.36,2.35,1.57,3.68,2.94,261.3,310.1,310.1,310.1,31.9,289.86,0.849,0,0.85,G5,0.97,0.98,5518,0.797227,-0.29,9.9,-0.64,-0.12,1.79,0.34,0.53,1
